school_name,category,value
HALE,as_pct,0.053353658536585365
HALL,as_pct,0.008888888888888889
HIAWATHA,as_pct,0.03162055335968379
HOWE,as_pct,0.03669724770642202
KENNY,as_pct,0.05543710021321962
KENWOOD,as_pct,0.0847457627118644
LAKE HARRIET LOWER,as_pct,0.08061420345489444
LIND,as_pct,0.11940298507462686
LK NOKOMIS WENONAH,as_pct,0.03
LORING,as_pct,0.11491442542787286
LUCY LANEY @ CLVLND,as_pct,0.0171990171990172
LYNDALE,as_pct,0.02044989775051125
NELLIE STONE JOHNSON,as_pct,0.018779342723004695
NORTHROP,as_pct,0.03815261044176707
PILLSBURY,as_pct,0.0160857908847185
PRATT,as_pct,0.03260869565217391
SHERIDAN,as_pct,0.03508771929824561
WAITE PARK,as_pct,0.03309692671394799
WEBSTER COMMUNITY,as_pct,0.13839285714285715
WHITTIER,as_pct,0.03052064631956912
WINDOM,as_pct,0.01549053356282272
ANDERSEN UNITED,as_pct,0.012168141592920354
ANISHINABE ACAD,as_pct,0.0049504950495049506
BARTON,as_pct,0.040927694406548434
FIELD,as_pct,0.0410958904109589
FOLWELL FINE ARTS,as_pct,0.012987012987012988
HMONG INTERNATIONAL,as_pct,0.4820717131474104
JEFFERSON,as_pct,0.03621730382293763
LAKE HARRIET UPPER,as_pct,0.05731523378582202
LK NOKOMIS KEEWAYDIN,as_pct,0.040948275862068964
MARCY OPEN,as_pct,0.040735873850197106
SEWARD,as_pct,0.04267589388696655
SULLIVAN,as_pct,0.008417508417508417
ANTHONY,as_pct,0.03795811518324607
ANWATIN NEW,as_pct,0.07205623901581722
FRANKLIN,as_pct,0.019801980198019802
JUSTICE PAGE,as_pct,0.03305785123966942
NORTHEAST,as_pct,0.06346153846153846
OLSON MIDDLE,as_pct,0.09836065573770492
SANFORD,as_pct,0.040123456790123455
EDISON HIGH,as_pct,0.05399792315680166
FAIR HIGH SCHOOL,as_pct,0.018518518518518517
HENRY HIGH,as_pct,0.32184950135992746
HERITAGE,as_pct,0
NORTH HIGH,as_pct,0.020316027088036117
ROOSEVELT HIGH,as_pct,0.03461918892185954
SOUTH HIGH,as_pct,0.04386451971127152
SOUTHWEST HIGH,as_pct,0.05067920585161965
WASHBURN HIGH,as_pct,0.04851425106124924
MACC,as_pct,0.034482758620689655
LONGFELLOW,as_pct,0.011494252873563218
WELLSTONE,as_pct,0.010067114093959731
WELLSTONE SWS,as_pct,0.047619047619047616
HARRISON SEC CTR,as_pct,0
RIVER BEND ED CNT,as_pct,0.012658227848101266
TRANSITION PLUS,as_pct,0.04887218045112782
AMERICAN IND OIC,as_pct,0
CENTER SCHOOL,as_pct,0
LORING-NICOLLET,as_pct,0.06666666666666667
MENLO PARK,as_pct,0.028985507246376812
MERC,as_pct,0
PLYMOUTH YTH CTR,as_pct,0.0472972972972973
RON MCDONALD HOUSE,as_pct,0
VOA PHOENIX,as_pct,0.010101010101010102
Total,as_pct,0.05845813478556841
ARMATAGE,hi_num,31
BANCROFT,hi_num,123
BETHUNE,hi_num,12
BRYN MAWR,hi_num,27
BURROUGHS,hi_num,39
CITYVIEW COMMUNITY,hi_num,16
DOWLING,hi_num,33
EMERSON SILC,hi_num,353
FAIR ELEMENTARY,hi_num,2
GREEN,hi_num,193
HALE,hi_num,36
HALL,hi_num,18
HIAWATHA,hi_num,27
HOWE,hi_num,39
KENNY,hi_num,29
KENWOOD,hi_num,27
LAKE HARRIET LOWER,hi_num,6
LIND,hi_num,19
LK NOKOMIS WENONAH,hi_num,36
LORING,hi_num,35
LUCY LANEY @ CLVLND,hi_num,15
LYNDALE,hi_num,58
NELLIE STONE JOHNSON,hi_num,144
NORTHROP,hi_num,45
PILLSBURY,hi_num,97
PRATT,hi_num,14
SHERIDAN,hi_num,87
WAITE PARK,hi_num,56
WEBSTER COMMUNITY,hi_num,29
WHITTIER,hi_num,139
WINDOM,hi_num,274
ANDERSEN UNITED,hi_num,501
ANISHINABE ACAD,hi_num,26
BARTON,hi_num,30
FIELD,hi_num,22
FOLWELL FINE ARTS,hi_num,474
HMONG INTERNATIONAL,hi_num,17
JEFFERSON,hi_num,250
LAKE HARRIET UPPER,hi_num,32
LK NOKOMIS KEEWAYDIN,hi_num,82
MARCY OPEN,hi_num,72
SEWARD,hi_num,61
SULLIVAN,hi_num,25
ANTHONY,hi_num,72
ANWATIN NEW,hi_num,206
FRANKLIN,hi_num,70
JUSTICE PAGE,hi_num,160
NORTHEAST,hi_num,102
OLSON MIDDLE,hi_num,31
SANFORD,hi_num,181
EDISON HIGH,hi_num,183
FAIR HIGH SCHOOL,hi_num,28
HENRY HIGH,hi_num,101
HERITAGE,hi_num,0
NORTH HIGH,hi_num,12
ROOSEVELT HIGH,hi_num,355
SOUTH HIGH,hi_num,300
SOUTHWEST HIGH,hi_num,208
WASHBURN HIGH,hi_num,307
MACC,hi_num,7
LONGFELLOW,hi_num,37
WELLSTONE,hi_num,112
WELLSTONE SWS,hi_num,8
HARRISON SEC CTR,hi_num,1
RIVER BEND ED CNT,hi_num,2
TRANSITION PLUS,hi_num,40
AMERICAN IND OIC,hi_num,0
CENTER SCHOOL,hi_num,11
LORING-NICOLLET,hi_num,7
MENLO PARK,hi_num,5
MERC,hi_num,14
PLYMOUTH YTH CTR,hi_num,12
RON MCDONALD HOUSE,hi_num,0
VOA PHOENIX,hi_num,33
Total,hi_num,6256
ARMATAGE,hi_pct,0.051666666666666666
BANCROFT,hi_pct,0.2333965844402277
BETHUNE,hi_pct,0.039473684210526314
BRYN MAWR,hi_pct,0.07736389684813753
BURROUGHS,hi_pct,0.050913838120104436
CITYVIEW COMMUNITY,hi_pct,0.05144694533762058
DOWLING,hi_pct,0.06613226452905811
EMERSON SILC,hi_pct,0.7116935483870968
FAIR ELEMENTARY,hi_pct,0.08
